PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED,zip
2017-10-01,2017-12-31,90,zip code,2,12190,False,Zip Code: 29624,,South Carolina,SC,All Residential,-1,68900.0,0.6682808717,0.2771084337,60000.0,-0.1428571429,-0.2105263158,46.575342466,0.7177158689,0.1653546906,45.0,-0.1296928328,-0.2285714286,27.0,-0.1,0.2272727273,27.0,-0.2058823529,0.08,33.0,-0.08333333333,0.4347826087,41.0,-0.02380952381,-0.1086956522,,,,68.0,5.5,-24.5,0.9132251998,0.01380805512,0.006471752633,0.1481481481,0.04814814815,0.05723905724,,,,0.2962962963,0.1198257081,0.2162962963,"Greenville, SC",24860,2026-02-16 14:39:14.119000+00:00,29624
2024-12-01,2025-02-28,90,zip code,2,10871,False,Zip Code: 27312,,North Carolina,NC,All Residential,-1,642385.0,0.01967491547,0.1374256114,722330.5,0.0333769671,0.2347529915,267.79818579,0.02999302227,0.08349571835,269.266289676,0.002530331005,0.08537712366,92.0,-0.1559633028,-0.1153846154,105.0,0.05,-0.07079646018,114.0,0.3103448276,-0.06557377049,137.0,0.1709401709,-0.02142857143,,,,62.5,-8.0,-13.0,0.9959950406,-0.001289439343,0.001388320837,0.25,0.002293577982,0.06730769231,,,,0.3428571429,0.04285714286,0.07737041719,"Durham, NC",20500,2026-02-16 14:39:14.119000+00:00,27312
2023-12-01,2024-02-29,90,zip code,2,11741,False,Zip Code: 28716,,North Carolina,NC,Single Family Residential,6,327500.0,-0.03676470588,0.08985024958,344900.0,-0.1133676093,0.03744924049,209.621993127,-0.0147766323,0.1607324147,221.636085627,-0.01322861644,-0.07294606135,49.0,-0.07547169811,-0.1551724138,48.0,-0.07692307692,-0.1724137931,33.0,-0.1538461538,0.0,40.0,-0.09090909091,-0.2857142857,,,,70.0,4.0,-10.5,0.9692726658,-0.01895768925,0.01797712355,0.1428571429,-0.1401617251,0.004926108374,,,,0.3125,0.02403846154,0.05387931034,"Asheville, NC",11700,2026-02-16 14:39:14.119000+00:00,28716
2020-12-01,2021-02-28,90,zip code,2,12096,False,Zip Code: 29485,,South Carolina,SC,Townhouse,13,201835.0,0.03505128205,0.1734593023,231150.0,0.005437146585,0.216899184,131.169704189,0.03579243312,0.1076552798,145.635738832,0.01079074951,0.183627208,38.0,-0.07317073171,0.52,61.0,0.08928571429,1.033333333,62.0,0.3777777778,0.7222222222,67.0,0.4565217391,0.5952380952,,,,56.5,7.5,-11.0,0.9999258284,-0.003202586272,0.00979331768,0.3421052632,-0.04813863928,0.1821052632,,,,0.6229508197,0.1050936768,0.1229508197,"Charleston, SC",16700,2026-02-16 14:39:14.119000+00:00,29485
2024-05-01,2024-07-31,90,zip code,2,12065,False,Zip Code: 29445,,South Carolina,SC,Single Family Residential,6,345000.0,0.004121262923,0.08490566038,352900.0,0.004125764689,0.06939393939,198.317703509,0.0006806045371,-0.02461208359,208.333333333,0.004979872028,0.03303484085,192.0,0.08474576271,0.04918032787,193.0,-0.07211538462,0.01047120419,227.0,0.004424778761,0.1947368421,179.0,0.02285714286,0.4435483871,,,,50.5,1.5,4.5,0.993482745,-0.001608969446,0.0009895244531,0.2864583333,0.02092161017,-0.003159153005,,,,0.4766839378,-0.08100836987,-0.1934731302,"Charleston, SC",16700,2026-02-16 14:39:14.119000+00:00,29445
2025-09-01,2025-11-30,90,zip code,2,11204,False,Zip Code: 27947,,North Carolina,NC,Single Family Residential,6,320000.0,0.01667990469,-0.1023842917,379900.0,0.1029176949,0.504852446,277.777777778,0.07700592353,0.105982906,199.947368421,-0.1458462634,-0.07541034736,1.0,-0.75,-0.5,6.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,-0.4285714286,,,,67.0,4.0,22.0,1.035598706,0.03885925802,0.08617423767,1.0,0.75,1.0,,,,0.1666666667,-0.3333333333,-0.1666666667,"Virginia Beach, VA",47260,2026-02-16 14:39:14.119000+00:00,27947
2017-01-01,2017-03-31,90,zip code,2,12258,False,Zip Code: 29702,,South Carolina,SC,Single Family Residential,6,83900.0,3.794285714,-0.1750245821,82100.0,0.0,-0.2529572338,40.926829268,2.723172125,-0.0889668396,78.942307692,0.0,0.1876575757,1.0,0.0,-0.75,2.0,1.0,-0.6,9.0,0.0,3.5,17.0,0.0625,0.7,,,,203.0,132.0,-86.5,1.120160214,,0.1948036027,1.0,1.0,0.75,,,,0.0,0.0,0.0,"Gaffney, SC",23500,2026-02-16 14:39:14.119000+00:00,29702
2022-03-01,2022-05-31,90,zip code,2,10783,False,Zip Code: 27101,,North Carolina,NC,Condo/Co-op,3,332500.0,0.5045248869,0.3854166667,519499.5,0.4842842857,0.8620053763,291.332297291,0.2343713947,0.2712682064,310.386332909,0.02478372865,0.2629393868,16.0,0.2307692308,0.06666666667,14.0,-0.125,-0.06666666667,18.0,-0.05263157895,-0.28,7.0,-0.125,-0.65,,,,26.0,-7.0,-5.0,1.007150598,0.004801190187,0.03473862973,0.5,0.03846153846,0.3666666667,,,,0.7142857143,-0.03571428571,0.2476190476,"Winston-Salem, NC",49180,2026-02-16 14:39:14.119000+00:00,27101
2017-08-01,2017-10-31,90,zip code,2,12154,False,Zip Code: 29582,,South Carolina,SC,Townhouse,13,195000.0,0.1079545455,-0.2427184466,238500.0,-0.08233936129,-0.06908665105,127.222222222,0.08845679012,-0.09349547189,126.656716418,-0.02063435332,-0.1196263152,23.0,-0.08,0.04545454545,35.0,0.1290322581,0.6666666667,29.0,-0.06451612903,-0.275,34.0,-0.15,-0.4848484848,,,,63.0,-7.0,-106.5,0.9797877427,0.01221213618,0.01835318472,0.1304347826,0.05043478261,0.08498023715,,,,0.08571428571,0.02119815668,0.08571428571,"Myrtle Beach, SC",34820,2026-02-16 14:39:14.119000+00:00,29582
2012-03-01,2012-05-31,90,zip code,2,12215,False,Zip Code: 29651,,South Carolina,SC,All Residential,-1,153000.0,0.03728813559,-0.02857142857,180000.0,-0.02702702703,0.03004291845,75.921908894,0.006413621276,-0.05709823097,87.957746479,0.01279956087,0.01149301174,141.0,0.1102362205,0.3301886792,139.0,0.112,0.3365384615,203.0,0.08556149733,0.03571428571,310.0,0.02310231023,-0.111747851,,,,121.0,-30.0,-15.0,0.9594002833,0.009357842971,0.006649229354,0.1489361702,0.007203886748,0.01686069851,,,,0.0,0.0,0.0,"Greenville, SC",24860,2026-02-16 14:39:14.119000+00:00,29651
2013-03-01,2013-05-31,90,zip code,2,10981,False,Zip Code: 27545,,North Carolina,NC,Single Family Residential,6,164700.0,0.012292563,-0.02457802784,172500.0,-0.04113396331,-0.01400400114,85.538461538,0.0293395407,0.09879551293,87.707317073,0.03206570112,0.02263080979,103.0,0.3376623377,0.4305555556,136.0,0.1333333333,0.8630136986,165.0,0.1538461538,-0.006024096386,154.0,-0.07228915663,-0.3446808511,,,,97.0,-35.0,-40.5,0.9967233398,-0.001064165846,0.0164637355,0.3009708738,0.02824360106,0.07874865156,,,,0.1985294118,-0.009803921569,0.1848307816,"Raleigh, NC",39580,2026-02-16 14:39:14.119000+00:00,27545
2015-12-01,2016-02-29,90,zip code,2,11356,False,Zip Code: 28213,,North Carolina,NC,Multi-Family (2-4 Unit),4,192500.0,-0.1444444444,,,,,66.372711378,0.2177180114,,,,,2.0,1.0,,,,,,,,,,,,,,136.5,4.5,,0.9661290323,0.06612903226,,0.5,0.5,,,,,0.0,0.0,,"Charlotte, NC",16740,2026-02-16 14:39:14.119000+00:00,28213
2020-08-01,2020-10-31,90,zip code,2,12008,False,Zip Code: 29360,,South Carolina,SC,Single Family Residential,6,142990.0,0.0,0.07192923273,162990.0,0.02194494953,0.1646302251,87.354397105,-0.006068229131,0.04640583949,91.473988439,-0.04712212059,0.07001683736,49.0,0.0,-0.234375,68.0,0.0303030303,-0.1052631579,53.0,-0.1016949153,-0.196969697,50.0,0.0,-0.2307692308,,,,63.0,-26.0,5.0,0.960948407,0.007914119033,-0.01313582049,0.1632653061,0.0,0.03826530612,,,,0.4558823529,0.001336898396,0.1927244582,"Greenville, SC",24860,2026-02-16 14:39:14.119000+00:00,29360
2020-06-01,2020-08-31,90,zip code,2,10939,False,Zip Code: 27501,,North Carolina,NC,All Residential,-1,246450.0,-0.0142,0.05343022013,251517.5,0.008308444747,0.1178555556,128.996907307,0.04220062306,0.09596344236,133.914152914,-0.01533695168,0.1198888752,118.0,0.3258426966,0.1132075472,171.0,0.1176470588,0.6764705882,148.0,0.02777777778,0.6086956522,91.0,0.01111111111,0.09638554217,,,,55.0,-2.0,-10.0,0.9917657657,-0.003958760575,0.007972384713,0.2542372881,-0.02666158827,0.008954269268,,,,0.3801169591,-0.01203990368,0.2624699002,"Fayetteville, NC",22180,2026-02-16 14:39:14.119000+00:00,27501
2014-06-01,2014-08-31,90,zip code,2,11925,False,Zip Code: 29161,,South Carolina,SC,Multi-Family (2-4 Unit),4,44900.0,0.0,,,,,,,,,,,1.0,0.0,,1.0,0.0,,,,,,,,,,,99.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,"Florence, SC",22500,2026-02-16 14:39:14.119000+00:00,29161
2013-10-01,2013-12-31,90,zip code,2,11025,False,Zip Code: 27606,,North Carolina,NC,Townhouse,13,154000.0,-0.01250400769,-0.03144654088,153000.0,0.03378378378,0.1212898498,103.597122302,0.08388497801,0.02345613442,104.16988417,0.0,0.007176137611,27.0,-0.1,-0.2702702703,32.0,0.06666666667,-0.2,31.0,-0.06060606061,0.7222222222,49.0,-0.09259259259,0.4848484848,,,,85.0,6.5,-20.0,0.9755103891,0.0009579465972,-0.003546320441,0.2222222222,0.02222222222,0.06006006006,,,,0.09375,-0.03958333333,-0.00625,"Raleigh, NC",39580,2026-02-16 14:39:14.119000+00:00,27606
