STATEFIPS,STATE,zipcode,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N85330,A85330,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27012,2,2390,1110,810,390,1180,4530,1340,87522,2390,88933,1960,64939,810,672,500,1495,460,1017,530,391,340,2599,410,736,340,3636,580,9275,0,140,918,550,3966,120,274,590,1411,80,18,0,0,70,358,70,316,200,209,20,43,0,0,790,12589,30328,630,1334,120,93,680,1177,780,2736,560,3386,630,1669,2280,43983,2250,5263,0,0,930,752,90,5,120,62,170,147,360,67,480,443,60,22,240,562,2310,9256,440,816,350,687,360,533,130,100,1900,4511,2010,5131,0,0,0,0,390,563,1950,4579
37,NC,27012,3,1760,520,1060,150,980,4030,1210,109409,1760,111033,1440,76642,880,807,540,2168,500,1634,670,603,280,2411,460,1140,340,4441,570,13215,30,100,601,520,7909,150,1118,550,1624,80,19,30,196,80,445,70,289,170,160,40,74,0,0,960,17009,60210,860,2840,80,77,900,1719,960,4859,780,5076,830,2645,1750,68314,1740,9197,0,0,810,1129,110,7,130,66,200,244,90,16,480,729,70,26,220,525,1730,11117,0,0,0,0,100,128,150,133,1650,8068,1680,8665,0,0,0,0,460,928,1250,3283
37,NC,27012,4,1470,210,1160,70,790,3990,1360,128834,1470,130375,1270,94186,830,779,530,2191,490,1711,870,887,290,3258,420,1425,250,4199,480,13785,0,60,376,370,7951,130,902,510,1540,80,21,0,0,50,293,50,254,200,227,0,0,0,0,1060,20520,93033,1010,4866,40,46,1000,1997,1060,7181,940,6729,950,3467,1470,87800,1470,12578,0,0,780,1343,120,8,160,82,200,263,0,0,550,947,50,12,210,605,1460,14157,0,0,0,0,0,0,140,136,1460,11235,1460,11960,0,0,0,0,420,927,1010,2988
37,NC,27012,5,2330,160,2080,90,1200,6740,2330,318402,2330,321835,2110,243552,1530,1489,1100,5391,1040,4066,1540,1798,450,6952,910,5500,410,10926,720,25432,40,90,613,480,10976,320,7664,850,3433,170,41,40,485,120,752,100,636,240,235,70,139,50,239,2060,50467,285830,2000,16296,50,95,1980,5073,2060,22090,1800,14790,1910,8816,2330,238288,2330,40922,70,126,1160,1458,310,56,290,138,290,399,0,0,520,687,110,70,320,1263,2320,42570,0,0,0,0,0,0,270,256,2320,39464,2320,41149,0,0,0,0,930,3868,1340,4963
37,NC,27012,6,700,40,650,0,470,2170,820,252394,700,255659,660,180019,580,1706,480,7397,460,5391,350,769,160,6638,460,9199,120,4335,150,7406,0,0,0,100,2264,220,30173,250,3265,30,8,40,712,80,802,0,0,0,0,0,0,0,0,700,36284,250669,690,16859,0,0,680,2862,700,20026,570,6505,670,7567,700,209994,700,55852,430,2141,310,472,200,122,70,31,0,0,0,0,0,0,40,9,140,923,700,52416,0,0,0,0,0,0,0,0,700,55380,700,57683,370,546,350,565,400,7752,250,1623
37,NC,27013,1,1170,740,200,200,640,1800,600,14506,1170,14776,890,10466,180,112,80,158,80,86,40,27,180,1147,60,17,90,517,180,1640,30,90,436,60,115,30,118,220,270,0,0,0,0,40,128,0,0,30,23,0,0,0,0,90,1261,1349,40,46,50,27,70,108,90,212,50,261,70,161,460,2611,450,272,0,0,110,38,0,0,0,0,30,14,40,8,40,14,0,0,170,231,1040,2403,440,1116,410,983,280,326,40,31,380,234,530,485,0,0,0,0,120,104,970,2023
37,NC,27013,2,720,280,270,160,420,1580,590,26108,720,26361,650,21694,150,101,70,139,60,88,100,67,100,779,60,57,50,512,120,1721,20,70,366,100,610,20,267,150,253,20,7,0,0,0,0,20,78,40,36,0,0,0,0,150,2065,5753,120,265,40,29,120,138,150,440,110,587,110,353,690,12691,680,1521,0,0,320,261,40,0,30,12,40,33,120,23,210,190,30,10,70,156,710,2931,190,396,170,334,160,230,20,20,540,1260,570,1438,0,0,0,0,100,148,610,1631
37,NC,27013,3,390,70,270,50,240,1010,350,23955,390,24126,360,19852,130,51,60,104,60,77,120,114,60,352,50,202,40,443,90,1579,20,70,260,70,911,40,364,90,171,0,0,0,0,30,134,0,0,30,34,0,0,0,0,160,2452,9855,150,509,0,0,140,204,160,748,130,782,130,459,390,14927,390,1974,0,0,200,293,0,0,20,10,40,51,30,5,130,213,0,0,30,78,380,2492,0,0,0,0,30,30,30,33,360,1681,370,1789,0,0,0,0,80,137,300,835
37,NC,27013,4,210,30,190,0,140,600,200,18371,210,18542,200,15208,100,123,50,57,50,30,120,129,40,524,30,28,30,260,60,1142,30,60,221,40,651,0,0,70,171,20,6,0,0,0,0,0,0,20,21,0,0,0,0,120,2388,10694,120,624,0,0,120,186,120,842,110,831,110,498,210,12555,210,1769,0,0,110,199,30,2,30,10,30,41,0,0,80,142,20,6,50,126,210,2136,0,0,0,0,0,0,30,24,210,1570,210,1658,0,0,0,0,50,105,160,529
37,NC,27013,5,160,0,150,0,110,450,160,20036,160,20142,150,15706,90,77,60,275,60,214,120,181,30,206,60,542,30,1012,60,2192,30,0,0,30,702,30,4609,60,365,0,0,0,0,0,0,0,0,30,28,0,0,0,0,140,3147,17236,130,956,0,0,130,221,140,1229,130,1085,120,744,160,14859,160,2428,0,0,90,100,0,0,0,0,20,30,0,0,40,56,0,0,0,0,160,2463,0,0,0,0,0,0,20,20,160,2332,160,2402,0,0,0,0,80,675,90,315
