STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
37,NC,27011,3,360,70,250,40,320,40,240,220,860,250,0,0,0,0,50,100,21948,360,22171,310,16655,110,89,50,160,50,147,50,21,60,189,50,140,60,748,100,2273,50,0,0,90,1384,0,0,90,223,0,0,0,0,20,170,0,0,20,23,0,0,0,0,80,1404,5094,30,226,70,202,0,0,70,123,50,16,80,350,60,300,0,0,0,0,0,0,0,0,60,287,40,391,0,0,360,13843,360,1862,0,0,0,0,160,202,40,2,0,0,40,48,50,10,100,154,0,0,50,139,0,0,0,0,0,0,350,2276,0,0,0,0,0,0,30,26,0,0,340,1660,350,1807,0,0,0,0,90,227,260,670,260,666,30,97
37,NC,27011,4,210,40,180,0,200,0,140,130,570,170,0,0,0,0,30,70,18403,210,18472,180,13429,90,37,50,150,50,133,50,21,30,104,40,138,40,767,90,2279,0,0,0,60,1339,0,0,50,69,20,6,0,0,0,0,0,0,30,36,0,0,0,0,80,1559,6707,30,277,70,258,0,0,70,132,60,20,80,416,70,398,0,0,0,0,0,0,0,0,70,379,0,0,0,0,210,12822,210,1785,0,0,0,0,100,151,0,0,30,9,0,0,0,0,80,118,0,0,20,35,0,0,0,0,0,0,210,2054,0,0,0,0,0,0,0,0,0,0,210,1634,210,1690,0,0,0,0,60,133,160,495,150,483,0,0
37,NC,27011,5,180,0,160,0,160,20,140,100,490,160,0,0,0,0,0,60,22369,180,22880,160,16314,100,133,80,531,80,443,80,99,30,428,80,1008,40,899,70,2101,20,0,0,50,1168,40,1778,70,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2586,15365,0,0,110,678,0,0,110,231,120,45,120,953,100,616,0,0,0,0,0,0,0,0,110,742,20,166,0,0,180,17052,180,2754,0,0,0,0,90,114,30,5,0,0,30,36,0,0,40,52,0,0,30,225,0,0,0,0,0,0,180,2871,0,0,0,0,0,0,30,21,0,0,180,2646,180,2773,0,0,0,0,80,446,130,528,110,423,0,0
37,NC,27011,6,30,0,30,0,20,0,0,0,70,0,0,0,0,0,0,0,8958,30,8958,30,5996,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1482,8958,0,0,30,496,0,0,30,88,0,0,30,856,20,148,0,0,0,0,0,0,0,0,30,293,0,0,0,0,30,7413,30,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2440,0,0,0,0,0,0,0,0,0,0,30,1801,30,1975,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27012,1,3790,2870,480,380,3270,250,1610,2180,4060,910,100,40,60,0,450,890,42670,3790,43482,2810,30703,740,329,510,833,470,580,70,43,540,3204,430,339,370,2416,630,5165,0,50,107,250,482,80,148,630,812,0,0,0,0,70,137,20,69,130,139,30,79,0,0,340,5523,4643,270,2420,140,121,150,90,250,637,220,48,320,904,180,1091,0,0,30,3,0,0,0,0,250,605,130,475,0,0,1590,9242,1560,1005,0,0,130,47,450,132,50,2,30,11,130,64,190,30,70,24,0,0,450,568,370,3234,380,3329,60,35,3330,5661,870,1926,730,1667,450,529,170,127,210,125,1350,873,1740,1499,0,0,0,0,420,307,3070,4464,3050,4434,30,28
37,NC,27012,2,2460,1230,700,440,2190,150,1160,1600,4410,1260,30,30,0,0,350,720,90572,2460,91952,1950,67574,720,457,470,1562,440,1113,220,111,340,2810,380,811,360,3941,590,9408,0,30,80,590,4522,110,612,570,1380,80,17,20,200,70,316,70,296,230,232,20,21,0,0,580,9782,22256,310,3090,440,855,110,97,470,974,430,99,570,2037,370,2039,0,0,0,0,60,58,0,0,460,1592,140,910,0,0,2360,47051,2340,5816,0,0,140,148,960,807,110,6,130,66,180,195,370,70,480,445,30,10,240,559,210,1954,230,2161,110,64,2380,9878,490,941,370,740,340,439,140,116,70,78,1990,5008,2120,5670,0,0,0,0,460,732,1980,4918,1950,4721,50,54
37,NC,27012,3,1920,690,940,210,1720,100,1040,1120,3990,1130,20,0,20,0,180,730,118369,1920,119854,1510,82307,860,630,520,2182,490,1599,410,208,290,2455,470,1759,410,5347,610,13664,40,30,66,610,10049,110,1031,550,1485,70,17,0,0,50,286,70,340,230,267,0,0,0,0,850,14590,52708,300,2794,770,2090,70,73,750,1603,630,167,850,3970,640,3892,30,94,40,16,70,107,30,18,730,2732,190,1049,0,0,1910,76239,1890,10487,0,0,80,126,790,998,170,14,110,56,150,177,130,23,470,709,30,9,220,567,90,900,110,1042,70,64,1880,12652,0,0,0,0,60,85,100,91,30,14,1830,9489,1850,10167,0,0,0,0,540,1178,1370,3642,1330,3541,50,102
37,NC,27012,4,1520,250,1160,90,1370,90,810,860,3810,1130,0,0,0,0,120,570,131713,1520,133354,1270,93111,780,640,490,2349,460,1815,440,244,300,2728,430,1787,330,6306,540,14091,0,30,122,440,9618,110,1598,510,1641,70,21,0,0,50,338,60,311,210,265,0,0,0,0,830,16618,72501,240,2568,770,3017,60,70,780,1741,650,213,830,5105,680,4391,0,0,40,25,90,119,0,0,740,3036,190,1219,0,0,1510,91186,1510,13083,0,0,30,144,730,1079,170,13,140,75,160,191,0,0,480,758,20,13,210,574,30,220,50,433,0,0,1510,14416,0,0,0,0,0,0,110,94,0,0,1500,12003,1500,12674,0,0,0,0,480,1315,1030,3005,990,2894,50,111
37,NC,27012,5,2820,240,2470,80,2530,200,1430,1370,7970,2680,0,0,0,0,180,930,385286,2820,389301,2490,287248,1650,1441,1220,6884,1160,5380,1220,855,570,8758,1040,8718,620,17197,890,31020,30,50,173,650,16908,330,8108,1060,4015,190,46,30,339,110,1080,120,725,350,400,50,104,30,108,2300,54749,319670,300,3263,2240,14801,60,98,2230,5771,1900,707,2300,21446,2010,15211,50,199,150,61,40,27,40,19,2070,11127,430,3158,50,208,2820,291415,2810,49394,50,84,20,122,1420,1607,410,51,350,186,330,431,0,0,650,828,70,47,420,1614,0,0,20,176,20,55,2810,51437,0,0,0,0,0,0,280,259,0,0,2810,47787,2810,49758,20,8,0,0,1110,4944,1710,6566,1620,6063,120,503
37,NC,27012,6,1040,70,950,20,950,70,670,310,3130,1130,0,0,0,0,0,320,426143,1040,431887,950,284446,820,2404,690,12557,670,10261,500,843,260,10757,650,43677,210,8512,250,10798,20,0,0,180,4884,270,48623,360,5744,30,8,50,1466,110,1423,0,0,0,0,0,0,20,502,1020,46718,416767,40,659,1000,21740,0,0,980,4245,850,437,1020,26579,810,8396,0,0,80,29,0,0,70,245,970,13782,130,1146,20,69,1040,370237,1040,97176,500,1972,0,0,440,537,330,134,100,54,0,0,0,0,0,0,20,32,230,1329,0,0,0,0,0,0,1040,92635,0,0,0,0,0,0,0,0,0,0,1040,96639,1040,100673,520,1005,550,1659,580,13478,460,5197,380,3365,90,1832
