STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27012,1,3870,2810,530,470,1720,4580,1180,160,110,50,43972,3870,44852,2850,31366,800,519,580,1008,530,671,140,102,550,3230,480,398,350,2222,630,5551,0,110,397,230,498,100,15,690,880,20,4,0,0,70,234,20,56,140,129,80,164,0,0,350,5542,4897,130,133,180,97,270,520,340,830,200,1183,280,591,1620,9130,1580,976,0,0,110,37,410,133,30,0,20,6,140,67,160,26,80,30,0,0,470,549,250,1162,250,1169,170,17,3340,5829,970,2102,810,1837,520,650,200,158,120,64,1340,843,1790,1451,0,0,0,0,420,302,3060,4671
37,NC,27012,2,2330,1100,770,380,1130,4310,1230,110,80,30,85141,2330,86572,1890,63413,770,563,450,1421,420,947,380,293,330,2492,400,1113,350,3838,560,8739,50,90,387,540,4047,110,326,580,1431,80,19,30,243,80,317,60,296,220,232,0,0,0,0,620,9765,24184,480,887,130,100,530,940,620,2014,440,2592,510,1441,2230,43732,2190,5288,0,0,100,76,860,698,80,3,110,59,160,155,330,70,430,383,30,18,230,519,130,598,140,668,130,25,2240,9080,450,875,360,704,340,476,130,103,50,38,1850,4590,1990,5186,0,0,0,0,390,555,1870,4384
37,NC,27012,3,1770,540,1020,170,970,3960,1160,0,0,0,110322,1770,111815,1440,76312,830,726,530,1843,500,1256,640,542,290,2588,430,1315,330,4477,590,13610,0,50,188,540,8671,130,1271,540,1493,80,20,0,0,60,366,70,345,180,209,30,65,0,0,850,14580,52977,750,2089,80,85,780,1478,840,3836,680,4471,730,2527,1760,69902,1750,9474,0,0,30,46,760,1070,120,6,130,73,190,242,110,20,460,691,40,11,210,540,40,178,50,219,50,17,1750,11464,0,0,0,0,90,119,140,133,0,0,1680,8403,1710,9033,0,0,0,0,470,921,1250,3201
37,NC,27012,4,1410,220,1110,70,760,3750,1240,0,0,0,122660,1410,124160,1220,88475,760,529,510,2004,470,1586,700,692,290,2954,410,1766,280,5443,450,12726,0,30,122,360,7600,120,1489,500,1500,80,19,0,0,50,305,60,314,190,183,0,0,0,0,890,16642,77786,850,3401,40,47,850,1706,890,5386,770,5386,810,2949,1410,84781,1410,11973,0,0,30,60,710,1233,110,7,150,85,180,246,0,0,500,855,50,29,230,586,0,0,30,90,30,28,1400,13383,0,0,0,0,0,0,140,129,0,0,1390,10739,1400,11458,0,0,0,0,410,1013,960,2862
37,NC,27012,5,2410,190,2120,100,1280,6850,2320,0,0,0,329538,2410,332987,2150,245756,1510,1382,1130,6626,1070,5135,1500,1714,480,7414,950,6997,480,12024,780,27733,40,60,238,560,13397,330,7513,880,3449,160,41,40,502,110,693,100,577,260,262,70,120,40,270,2030,47808,281417,1970,13421,50,75,1950,4914,2020,19027,1770,14008,1890,9508,2410,249736,2410,42754,50,109,0,0,1190,1492,330,70,290,138,300,416,0,0,520,686,100,50,360,1263,0,0,0,0,0,0,2400,43997,0,0,0,0,0,0,290,263,0,0,2400,41263,2400,42935,0,0,0,0,1010,4177,1300,4832
37,NC,27012,6,820,50,760,0,540,2480,900,0,0,0,319636,820,323517,770,219103,660,1637,560,9694,540,7326,390,859,180,6214,540,21041,140,7826,190,9299,0,0,0,120,2810,250,41405,290,3881,40,9,40,945,90,1028,0,0,0,0,0,0,0,0,810,37319,316497,810,17286,0,0,790,3276,810,20929,660,7318,770,9689,820,275286,820,73734,430,1912,0,0,350,459,260,219,80,39,0,0,0,0,0,0,30,11,170,1037,0,0,0,0,0,0,810,68593,0,0,0,0,0,0,0,0,0,0,820,72987,820,75939,430,696,440,956,460,10741,290,2208
37,NC,27013,1,1140,720,190,200,600,1700,560,70,40,30,13980,1140,14300,880,10526,160,68,80,120,80,69,30,14,190,1252,60,82,70,392,170,1447,50,40,92,50,100,20,181,200,320,0,0,0,0,30,87,0,0,20,19,0,0,0,0,70,1017,1109,30,28,30,19,60,85,70,143,40,223,60,165,470,2652,470,282,0,0,20,7,110,31,0,0,20,8,20,10,50,6,40,12,0,0,170,235,50,225,50,223,70,7,1030,2385,420,1090,380,955,250,324,50,38,30,15,400,251,560,504,0,0,0,0,120,104,950,1979
37,NC,27013,2,700,310,250,130,400,1460,510,0,0,0,25349,700,25581,620,20803,140,61,60,98,60,62,80,50,90,689,50,146,60,562,140,1774,0,40,240,110,665,20,332,140,232,20,5,0,0,30,96,40,166,40,34,0,0,0,0,110,1727,4115,90,153,40,30,80,99,110,276,70,417,80,252,680,12561,670,1522,0,0,30,31,280,218,0,0,0,0,40,32,120,20,170,156,0,0,70,167,40,157,50,200,90,17,690,2861,180,358,140,294,140,205,30,24,0,0,550,1304,590,1514,0,0,0,0,120,178,580,1517
37,NC,27013,3,400,90,270,50,270,1000,330,0,0,0,24859,400,25054,360,20021,140,117,70,158,60,95,110,86,60,522,60,203,40,526,110,1929,20,40,156,70,1062,40,574,90,195,0,0,0,0,0,0,0,0,30,29,0,0,0,0,130,1953,7934,110,325,0,0,120,153,130,510,100,560,100,443,400,15833,400,2137,0,0,0,0,180,264,30,1,20,7,60,66,40,5,120,187,30,11,50,117,0,0,0,0,30,12,400,2611,0,0,0,0,20,25,50,43,0,0,380,1872,390,2015,0,0,0,0,100,215,300,788
37,NC,27013,4,200,30,180,0,130,570,190,0,0,0,17621,200,17773,190,14390,80,101,40,109,40,61,100,86,30,50,40,191,30,514,50,1138,30,0,0,40,735,0,0,60,152,30,8,0,0,20,111,0,0,20,22,0,0,0,0,100,1747,8214,90,370,0,0,90,151,100,541,80,542,80,414,200,12301,200,1724,0,0,0,0,100,164,30,2,30,12,0,0,0,0,80,140,0,0,20,24,0,0,0,0,0,0,200,1985,0,0,0,0,0,0,0,0,0,0,200,1560,200,1603,0,0,0,0,50,115,150,485
