feature,rf_importance,gb_importance,lr_importance,perm_importance,perm_std
sale_price_mom_3m_avg,0.007999091294787928,0.0013246795113901486,0.0006916750429184363,-0.00025107071140525463,0.0001693078442631072
pct_sold_above_list,0.01927317891209984,0.02460947705967195,0.022959149018726758,-0.0002695261299090812,0.0005117185096599949
sale_price_vs_baseline_lag3,0.009439511536879719,0.005818142512827656,0.0007115080633136537,-0.00032606918469392786,0.000361441425655333
median_household_income_yoy_pct,0.01140483505901686,0.01652557175515518,0.0008032038653625674,-0.00032739454998843566,0.00017368960988450036
sale_price_mom_pct,0.006839575674610144,0.00044290801410688574,0.0014369094119583705,-0.00035861100778821766,0.00010025047401326527
sale_price_accel,0.008065738494856305,0.0019131221770947936,0.00020250389482196783,-0.00043079845557017493,0.00019037267794201292
inventory_mom_pct_lag3,0.0073409354343894105,0.0008014449870001988,0.0008062773771831459,-0.00048129917388688436,0.0001370311359121548
sale_price_yoy_pct,0.008781238543734506,0.0038962065247086708,0.002925966087577474,-0.0004939742012758042,0.0002827198902867353
sale_price_mom_pct_lag6,0.006448768176323352,0.0008321952974209869,0.00021191282397173391,-0.0005192558374912781,0.00013130380385216985
inventory_mom_pct_lag6,0.008285760489685812,0.002252239004446309,0.0005019213562286586,-0.0006035514160022737,0.00021375919716023513
inventory,0.0110384501950988,0.014166838644885642,0.056447878027889885,-0.0006431677184489282,0.0006568160008472298
inventory_mom_3m_avg,0.010400281719425895,0.004537450999371816,0.0021983802642546657,-0.0007106596980340663,0.0002741540550660886
sale_price_mom_12m_avg,0.010220241219789362,0.003983839531177439,0.0010465221200837002,-0.0008172968693933469,0.0002507923545475672
new_listings,0.011623391294241637,0.008785835644245578,0.008501450157780999,-0.0008301243724356033,0.0006414903839906964
sale_price_mom_pct_lag3,0.007039835874612308,0.0014259651508872087,0.0004579847171798439,-0.0009216273577916268,0.000150443606742129
business_establishments_yoy_pct,0.009398148030130265,0.009169349056905484,0.0009442238787979308,-0.000978948429371751,0.00021624373496623343
avg_sale_to_list_ratio,0.015578112226653219,0.011271923250500105,0.003832776466875394,-0.0010767889284222232,0.0005059210272109964
adjusted_gross_income,0.012431608378949752,0.009026320002957259,0.016962480134672126,-0.0012904307765616075,0.0003268656321209174
home_value_mom_3m_std,0.027661072052401436,0.014795896234751412,0.0069597939112680035,-0.001587367337384904,0.00041270998617564324
inventory_accel,0.008655128244423676,0.003642319859914244,0.001988760894089537,-0.0017035029600215913,0.00024258149422400277
pct_off_market_in_2wks,0.01683368510364746,0.018143793080558215,0.009357544284852488,-0.0023016669029387706,0.00032758675072580334
median_days_on_market,0.013962398143766869,0.011377862215811522,0.0037847207580725757,-0.002659920179386427,0.0003219347059477824
off_market_2wk_3m_avg,0.017637399831907877,0.0033625871840258473,0.004202739401893492,-0.003134915071452038,0.00043559474480505046
